Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,May,Powhatan County,148,366,135686,,
2019,March,Giles County,354,675,11905,70,0
2019,October,Nottoway County,259,1649,24655,,
2019,January,Norton City,523,1544,12979.7,,0
2019,February,Alleghany County,386,1125,22926.25,,0
2019,October,Patrick County,1064,2822,21375.95,,0
2020,May,Louisa County,21,65,,,
2019,October,Portsmouth City,2714,8456,125045,560,12884
2019,August,Lexington City,704,1594,42186.67,,0
2019,February,Richmond City,0,79586,0,,
2021,May,Rockbridge County,128,5680,4581.94,,0
2021,April,Essex County,234,517,21949,,
2019,April,Richmond City,0,184936,0,,
2019,August,Highland County,201,371,8876.5,,0
2020,June,Lynchburg City,9834,14995,204103.64,1075,3065
2021,April,Wythe County,796,1565,18155.8,,0
2021,January,Montgomery County,747,1812,36832.8,522,6411
2021,May,Carroll County,209,527,9756.08,,0
2021,May,Winchester City,1344,3907,132881.19,140,3412
2020,January,Pittsylvania County,,,0,78,2332
2019,January,Rockbridge County,375,2084,20098.63,,0
2020,August,Arlington County,,,44525.51142,,
2019,April,Portsmouth City,3479,8756,107055,585,9596
2021,February,Richmond City,0,6871,0,,
2021,April,Fairfax County,,,1838062.863,,71047
2020,December,Goochland County,123,563,115814,,
2020,August,Washington County,2642,4997,139758.93,,0
2020,December,Fairfax County,,,1403125.945,,60647
2019,December,Hanover County,73,185,,,
2019,September,Lancaster County,397,773,68432,,
2019,June,Tazewell County,1705,4781,41550.45,,0
2019,October,Harrisonburg City,2673,9398,163819.82,279,1976
2019,April,King George County,336,861,10825,498,340
2020,February,Norton City,425,1240,26815.95,,0
2020,December,Fluvanna County,328,594,22258.4,,1215
2019,September,Bland County,573,1367,21298.2,,0
2019,December,Sussex County,206,481,16572,130,1797
2019,June,Buena Vista City,973,1683,28381.16,,0
2021,March,Powhatan County,85,381,94875,,
2020,April,Russell County,841,2097,24970.6,,0
2021,May,Cumberland County,877,1338,49574,,
2019,August,Nottoway County,239,1323,35244,,
2020,May,Norfolk City,4931,20470,532208,1620,839
2020,June,Caroline County,560,1468,16696.13,,0
2020,December,Floyd County,411,1015,20065.81,,0
2021,June,Middlesex County,450,711,8017,,
2019,November,Waynesboro City,407,1498,25006.57,164,5712
2019,May,Montgomery County,1139,3140,41693.47,927,7799
2020,August,Emporia City,60,80,24509,,
2019,February,Charles City County,5,9,9465,,
2020,August,Lexington City,674,1632,32961.48,,0
2019,March,Greensville County,129,385,148178,,
2019,September,Prince George County,416,1186,8127,,
2020,September,Fluvanna County,326,1039,39073.24,,1863
2019,January,Appomattox County,712,1135,25594.84,,0
2020,June,Montgomery County,625,4233,31848.75,320,14425
2019,April,Chesapeake City,3770,10613,229066,285,4592
2019,April,Loudoun County,2279,8311,178266.69,1124,18366
2020,September,Dickenson County,948,1925,43440.35,,0
2020,March,Virginia Beach City,3799,14348,165141,225,1961
2020,May,Craig County,109,129,6350,23,0
2019,October,Buchanan County,1624,3436,104954.95,221,0
2019,February,Bath County,85,248,18500.13,,0
2019,September,King and Queen County,17,33,,,
2020,January,Martinsville City,485,2162,11183.8,,180
2019,April,Montgomery County,1032,2818,26544.72,960,9814
2020,December,Henry County,3727,8753,109135.92,667,0
2020,April,King George County,271,711,837.08,,0
2021,July,Bedford County,741,2338,90646.21,,0
2020,May,King and Queen County,32,39,,,
2019,February,Caroline County,905,2416,21910,1082,2598
2020,September,Augusta County,2127,5344,229672.68,15,3002
2020,February,Westmoreland County,382,943,8445,,
2020,July,Scott County,452,881,21171.28,,0
2019,July,Floyd County,374,1022,17862,,0
2019,March,Gloucester County,764,2385,93233,60,1270
2019,August,Hopewell City,96,143,12200,,
2021,May,Montgomery County,661,6216,32680.91,51,10950
2021,January,Grayson County,635,1888,39147.61,90,860
2019,June,Augusta County,2681,7116,280711.05,486,12985
2019,March,Powhatan County,142,349,107508,,
2020,June,Craig County,51,51,10771,8,0
2020,November,Fluvanna County,473,794,37924.6,132,2700
2020,April,Essex County,32,88,,,
2020,November,Fauquier County,888,2170,37017.49,,0
2019,July,Hopewell City,105,167,10979,,
2019,October,Richmond City,0,16272,0,,
2019,May,Colonial Heights City,0,1810,0,,
2020,April,Albemarle County,3227,7937,220083.1,,471
2020,December,Middlesex County,513,820,6051,,
2020,October,Louisa County,1213,2451,39434,,
2019,March,Wythe County,857,2195,24050.5,,0
2019,February,King William County,3,10,,,
2021,February,Carroll County,250,638,14029.1,,0
2020,April,Isle of Wight County,668,1499,35796,60,0
2020,February,Montgomery County,977,5520,33516.8,1072,11517
2019,July,Russell County,1,2,,,
2020,April,Floyd County,428,1054,10904.42,,0
2020,June,Botetourt County,301,1076,12040.3,,0
2019,June,Henrico County,1731,9154,44831,,
2019,February,Campbell County,839,1880,82731.78,229,2246
2020,April,Poquoson City,74,228,7345,0,
2020,May,Poquoson City,70,212,9755,0,
2019,November,Williamsburg City,382,1055,59802,35,4680
2019,May,Rockingham County,1929,3695,94080.31,,0
2019,August,Tazewell County,2145,4947,64547.85,40,54
2020,January,Smyth County,1177,4033,128609.85,593,10808
2021,March,Charles City County,166,500,59521,,
2020,February,Goochland County,164,641,34521,,
2020,September,Amherst County,1382,2976,87223.65,1275,6765
2021,June,Henrico County,2735,11156,60690,,
2020,November,Pulaski County,1382,6161,32715.43,200,0
2020,March,Orange County,297,677,19123.6,,0
2021,August,Dickenson County,618,1023,25274.25,,229
2020,March,Winchester City,1949,5764,116331.25,962,65289
2019,May,Middlesex County,545,848,12808,,
2021,June,Alleghany County,118,296,17806.58,,0
2020,June,Henry County,2859,7113,90018.5,529,0
2020,September,Arlington County,,,44453.70406,,
2020,January,Rockbridge County,100,2815,11987.13,,0
2019,August,Scott County,638,1423,21450.7,,380
2020,August,Pittsylvania County,514,1323,23521.95,,0
2021,May,King and Queen,,,153234,,
2019,January,Harrisonburg City,1784,6129,166284.7,42,704
2020,January,Dinwiddie County,272,1031,448,,
2019,March,Shenandoah County,1136,2989,67732.07,,0
2021,June,Fauquier County,625,1537,47606.99,,0
2019,June,Charlottesville City,627,3612,43889.55,,11952
2019,July,Richmond City,0,19953,0,,
2019,November,Frederick County,2743,7386,61524.01,,0
2020,February,Caroline County,876,2312,29598.08,292,4476
2019,August,Westmoreland County,415,1053,9311,,
2021,September,Carroll County,111,246,13450.23,,0
2019,August,Orange County,603,1566,46913.59,,0
2020,January,Colonial Heights City,100,255,60658,,
2021,September,Tazewell County,,,36615.2,,0
2020,January,Shenandoah County,1240,3196,75434.59,,0
2019,January,Richmond County,1,1,,,
2021,January,Orange County,595,1552,25807.72,,0
2021,July,Alleghany County,109,319,31325.94,,0
2019,November,Charlottesville City,1184,8989,47194.43,0,0
2020,March,Augusta County,2639,6449,259542.81,160,2975
2021,March,Carroll County,223,552,12243,,0
2021,May,Covington City,149,499,20528.26,,0
2020,August,Hopewell City,64,145,25556,,
2019,February,Russell County,913,1887,38243.85,,0
2021,July,Franklin County,492,1431,19363.25,,2360
2020,March,Prince Edward County,1293,2159,28013,,
2019,November,James City County,185,488,54950,245,2504
2019,January,King and Queen,1,1,45218,,
2019,January,Surry County,69,140,28639,0,
2021,June,Amherst County,1085,2380,79983,939,0
2019,November,Charles City County,337,901,15196,,
2019,September,Charles City County,274,705,11118,,
2019,November,Prince William County,37,122,354,,0
2021,April,Orange County,578,1157,33190.09,,0
2019,April,Caroline County,840,2119,23783,1313,2271
2019,December,Prince George County,227,591,7609,,
2021,April,Bath County,284,530,20035.52,134,0
2019,February,Goochland County,11,898,32972,,
2019,July,Grayson County,634,1827,9032,,0
2021,April,Buena Vista City,218,546,28554.58,,0
2019,December,Accomack County,2001,5887,108224,340,4831
2020,May,Patrick County,898,2362,45857.9,,0
2021,March,Sussex County,155,419,11168,,
2020,December,Cumberland County,566,832,56827,,
2020,June,Lancaster County,499,963,83401,,
2021,April,Giles County,121,121,13806,,0
2019,September,Colonial Heights City,0,1581,0,,
2020,June,Poquoson City,60,186,8987,,
2020,April,Fauquier County,4,14,,,
2019,August,Washington County,1457,4265,85081.25,80,770
2020,May,Hampton City,1320,3621,311772,410,10819
2021,February,Pittsylvania County,489,1092,28142.88,,0
2021,April,Bristol City,149,827,4390,82,476
2020,February,Wythe County,986,2554,25050.45,,0
2019,June,Warren County,2,4,,,
2020,October,Lexington City,774,1869,40803.31,,0
2020,March,Richmond City,7036,14327,24412,,
2020,June,Alleghany County,205,550,17480.55,,0
2020,February,Alexandria City,,,65068.97075,,5391
2020,April,Montgomery County,10,26,,,
2019,November,Bedford County,1395,4383,69091.53,78,481
2020,March,Richmond County,5,9,,,
2020,April,Hanover County,699,1988,403,,
2020,April,Radford City,766,1928,23954.77,154,0
2020,August,CLARKE COUNTY,122,241,10634.65,61,921
2019,March,Charles City County,104,253,11732,,
2020,September,Buckingham County,975,1815,52200.24,,0
2019,July,Alexandria City,,,59118.63526,,115
2020,April,Franklin County,787,2152,49527.6,,0
2020,August,Russell County,796,1802,31238.22,,0
2021,March,Greensville County,46,206,278926,,
2019,April,Northampton County,338,695,9610,85,1690
2019,August,Virginia Beach City,4733,20691,300298,0,0
2019,October,Alexandria City,,,52570.88959,,10233
2021,July,Roanoke County,223,711,18548.53,,1817
2019,March,King and Queen,,,52245,,
2019,July,Powhatan County,141,375,96689,,
2020,August,Nottoway County,279,908,28820,,
2019,March,Richmond City,0,85013,0,,
2019,March,STAUNTON CITY,580,5060,26291.12,,889
2020,January,Stafford County,1311,3787,52701.39,437,1677
2019,May,Northumberland County,259,626,73567,,
2020,May,Fairfax County,,,812049.802,,
2020,February,Chesterfield County,1898,7731,287398,,
2020,May,York County,479,1514,31954,215,2315
2021,April,Carroll County,194,469,9229,,0
2019,April,Hopewell City,61,82,10123,,
2019,December,Bedford County,1368,4428,109120.13,78,674
2019,June,Arlington County,,,47018.42447,,323
2021,April,Rockbridge County,114,4954,6327.9,,0
2021,May,Tazewell County,1450,1795,62537.73,,935
2019,December,Orange County,373,959,13734,,0
2020,August,Buckingham County,1045,1949,39148.63,,0
2021,February,Covington City,204,6934,28440.45,,0
2019,November,Colonial Heights City,77,172,49030,,
2019,February,Prince Edward County,478,2336,20178,,
2020,March,King and Queen County,32,41,,,
2020,April,Greensville County,15,97,76829,,
2019,June,Surry County,70,143,16613,,
2019,December,Hopewell City,115,238,23920,,
2020,November,Grayson County,841,2366,34658.6,,0
2019,July,Warren County,1199,2900,46074.11,0,169
2021,March,Nottoway County,216,643,26697,,
2019,March,Hanover County,338,4034,9292,,
2019,May,Fauquier County,1,1,,,
2020,June,Roanoke City,3860,20449,302764.3,107,2733
2020,February,Northampton County,307,591,7184,95,950
2019,May,Scott County,799,1743,24914.95,13,0
2020,July,Buckingham County,898,1687,47231.12,,0
2020,May,Sussex County,148,387,11098,,
2021,June,Montgomery County,763,6229,27127.5,63,3832
2019,April,Loudoun County,,,7254,,
2019,July,Albemarle County,2485,6524,171660.82,0,0
2020,April,Buchanan County,1552,3580,99257.08,492,7402
2019,February,Orange County,358,813,10922,,0
2019,August,Chesterfield County,885,11373,242289,,
2019,May,Campbell County,851,1830,129811.58,,1052
2019,July,Augusta County,3058,7933,301790.83,20,0
2020,February,Stafford County,1317,4039,56009.99,439,3678
2020,February,Accomack County,1787,5372,111727,340,4686
2019,January,Prince George County,351,936,5462,,
2019,February,Wise County,1039,3466,40254.5,,0
2019,February,Martinsville City,568,2029,12365.9,,352
2019,August,Botetourt County,191,616,13761.85,,0
2020,May,Westmoreland County,77,218,297,,0
2020,December,Warren County,273,736,36365.94,0,111
2019,June,Southampton County,544,1270,19219,105,0
2019,December,Lancaster County,423,872,67601,,
2021,February,Colonial Heights City,0,1298,0,,
2020,February,Hanover County,129,357,,,
2019,October,Madison County,225,511,26967.02,,0
2019,November,Roanoke County,432,1321,16655.85,245,1885
2019,May,Sussex County,130,360,12374,,
2020,January,Fairfax County,,,664802.4623,,32967
2019,January,Craig County,54,63,11385,48,0
2021,March,Charlottesville City,961,9497,49059.18,0,7734
2020,October,Richmond City,9128,19643,17806,,
2019,April,King William County,3,10,,,
2020,April,Cumberland County,783,1238,40629,,
2019,April,Waynesboro City,640,1087,15243.52,,7808
2021,April,Highland County,246,486,10748.78,,0
2020,August,Campbell County,1037,2169,103049.52,0,0
2019,June,Smyth County,1117,2940,96710.7,30,0
2020,February,Amherst County,1344,2832,107767.05,1679,4394
2020,October,Greene County,665,1978,91975.6,78,1592
2019,June,Hanover County,456,2357,662,,
2020,May,Lee County,362,1009,28440.25,,0
2020,April,Chesterfield County,2935,11698,386279,,
2019,July,King and Queen County,74,207,261234,,
2019,April,Charles City County,243,688,12242,,
2019,September,BEDFORD COUNTY,440,903,18169.98,,0
2021,June,Bedford County,726,2257,36972.5,,0
2020,September,Tazewell County,2440,6093,74233.83,,0
2020,January,New Kent County,408,1058,0,,
2021,March,Goochland County,131,540,140763,,
2019,January,Newport News City,934,2320,319891,450,10108
2020,April,Bedford County,933,2788,79755.97,,0
2021,February,Appomattox County,773,1286,31438.15,,0
2019,November,Stafford County,1272,4094,53193,1199,3167
2020,July,Harrisonburg City,2185,6934,244857.89,211,2241
2019,October,King and Queen County,22,88,,,
2019,March,Prince William County,,,290885.1821,,
2019,September,Wise County,1003,3189,38730.4,,0
2019,November,Culpeper County,602,1494,32438.76,,0
2021,April,King and Queen County,304,705,162622,,
2021,January,Radford City,577,1832,24513.08,153,0
2020,March,Charles City County,273,725,15293,,
2021,March,Tazewell County,1349,3158,67833.13,,0
2019,March,Buckingham County,944,1663,43928.75,,0
2019,February,Charlottesville City,2880,8829,39276.17,0,0
2021,July,Radford City,535,1793,20072,,0
2020,April,Richmond County,31,58,347791,,
2020,November,Fairfax County,,,1696440.365,,50550
2020,February,Middlesex County,652,1005,13231,,
2021,April,Buchanan County,1395,3267,88568.23,328,0
2021,February,Emporia City,82,137,17780,,
2019,June,Emporia City,0,0,0,,
2019,February,Suffolk City,2050,4987,57764,180,2327
2020,September,Highland County,203,435,12383.43,,0
2019,February,Greensville County,95,321,130855,,
2019,January,Richmond City,2,2,,,
2021,May,Greensville County,83,238,163851,,
2019,November,Fairfax County,,,533501.9025,,38577
2020,September,Lunenburg County,708,2783,97142,,
2020,November,Albemarle County,2806,7464,202972.07,55,1684
2020,March,Hampton City,1677,4302,255737,410,14983
2019,November,Richmond City,8003,16466,22501,,
2019,July,King George County,312,822,8089,,0
2019,July,Prince Edward County,1275,2419,46003,,
2020,March,Fredericksburg City,981,2190,57543.57,340,529
2020,December,Brunswick County,438,787,56247,,
2019,September,Hopewell City,0,1160,0,,
2019,November,Hopewell City,116,209,19367,,
2019,August,Chesapeake City,2762,8791,201285,0,0
2019,April,Henrico County,1570,9477,30687,,
2020,May,Emporia City,0,0,0,,
2019,June,Washington County,1369,4254,67095.15,,0
2020,October,Albemarle County,2627,6834,246369.81,55,1864
2020,October,Cumberland County,886,1380,64403,,
2020,October,Bath County,301,602,18152.46,,0
2020,March,Essex County,42,104,,,
2021,August,Roanoke County,280,836,10122.05,,0
2020,August,Shenandoah County,1023,2706,72366.7,,0
2019,January,Northampton County,348,688,9030,85,1155
2021,May,Danville City,1565,4171,124264.14,,0
2019,April,Emporia City,153,239,17907,,
2019,July,Mecklenburg County,1184,32673,19655,,
2020,July,Giles County,224,355,13323,,0
2020,August,Greene County,686,1973,68234.26,,0
2019,August,Prince George County,412,1187,0,,
2019,August,Martinsville City,362,1589,12023.4,,968
2019,October,Emporia City,0,0,0,,
2019,October,Rappahannock County,171,445,23347.86,,0
2019,June,Bath County,250,507,14998.28,,0
2019,December,Martinsville City,458,1845,16185.15,109,0
2020,December,Mecklenburg County,2200,3656,9566,,
2019,October,King William County,142,3667,19192,,
2019,June,Grayson County,209,481,8503.2,,0
2019,February,Tazewell County,2456,5320,101202.55,40,0
2020,August,Charlottesville City,1415,7089,51024.08,,6820
2021,March,Louisa County,1089,2105,21075,,
2020,March,Washington County,1392,4609,99888.5,200,1099
2019,September,Surry County,133,250,45088,0,
2021,January,Roanoke City,3873,21313,177131.5,228,0
2020,December,Roanoke City,4238,22639,419592.58,313,2978
2020,February,Petersburg City,0,7079,0,,
2019,October,Bedford County,1229,3853,83796,102,0
2020,February,Fredericksburg City,1105,2535,52359.76,442,1145
2019,July,Virginia Beach City,4652,21526,307350,220,0
2019,May,King William County,129,2817,18600,,
2020,October,Emporia City,0,0,0,,
2019,October,Dickenson County,1223,2622,62036.5,,0
2020,November,Franklin County,839,2861,69890.08,259,0
2020,March,Prince William County,,,231944.8838,,5298
2019,August,PAGE COUNTY,278,605,59430.01,,0
2021,March,Waynesboro City,287,644,18659.02,155,4444
2020,June,Buena Vista City,345,812,36159.69,,0
